#mpa_v30_CHOCOPhlAn_201901
#/nfs/research/biomics/WorkFlows/MetaPhlan/meta_env/bin/metaphlan --input_type fastq --samout Metaphlan/I20-1079-19/I20-1079-19.sam.bz2 --bowtie2out Metaphlan/I20-1079-19/I20-1079-19.bowtie2 --output_file Metaphlan/I20-1079-19/I20-1079-19.tsv --sample_id_key I20-1079-19 --add_viruses -t rel_ab_w_read_stats --bowtie2db /nfs/research/biomics/WorkFlows/MetaPhlan/references/ --index mpa_v30_CHOCOPhlAn_201901 --bt2_ps sensitive-local --nproc 12
#I20-1079-19	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:30374957
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	94.37469	7.06132	30363941
k__Viruses	10239	5.62531	0.4209	11016
k__Bacteria|p__Firmicutes	2|1239	53.01308	3.96655	14766367
k__Bacteria|p__Proteobacteria	2|1224	39.08032	2.92407	15075356
k__Viruses|p__Viruses_unclassified	10239|	5.62531	0.4209	11016
k__Bacteria|p__Actinobacteria	2|201174	2.26156	0.16921	516849
k__Bacteria|p__Tenericutes	2|544448	0.01256	0.00094	1491
k__Bacteria|p__Chloroflexi	2|200795	0.0056	0.00042	3267
k__Bacteria|p__Planctomycetes	2|203682	0.00079	6e-05	452
k__Bacteria|p__Synergistetes	2|508458	0.00078	6e-05	159
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	39.07066	2.92335	15073639
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	32.61111	2.44003	9593324
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	17.06147	1.27658	4546804
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	5.62531	0.4209	11016
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	3.30606	0.24737	618955
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.56885	0.11738	392114
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.68769	0.05145	123906
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.01953	0.00146	3026
k__Bacteria|p__Firmicutes|c__Limnochordia	2|1239|1676648	0.01491	0.00112	4258
k__Bacteria|p__Tenericutes|c__Mollicutes	2|544448|31969	0.01256	0.00094	1491
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.00966	0.00072	1717
k__Bacteria|p__Chloroflexi|c__Chloroflexia	2|200795|32061	0.0056	0.00042	3267
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	2|201174|1497346	0.00502	0.00038	829
k__Bacteria|p__Planctomycetes|c__Planctomycetia	2|203682|203683	0.00079	6e-05	452
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	0.00078	6e-05	159
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	38.3608	2.87024	14905057
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	32.61111	2.44003	9593324
